feature_set,model_name,mode,roc_auc_mean,roc_auc_std,pr_auc_mean,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,threshold_mean,n_rows,n_splits
sk_windows_ratios,RF_depth2,stratified 5-fold,0.5798345588235294,0.06644295586684366,0.603638934271481,0.6950000000000001,0.1240071682515885,0.3970588235294118,0.1999134760937227,0.4373816794043267,32,5
sk_windows_ratios,RF_depth3,train-all,0.9445970695970696,0.0,0.9429491652594598,0.9615384615384616,0.0,0.7380952380952381,0.0,0.456139050048208,162,1
sk_windows_ratios,RF_depth3,70/30 x50,0.5853666666666666,0.06993909254963683,0.6016841147634797,0.6525,0.09811062350451374,0.46559999999999996,0.11778217182579034,0.4716423652794879,49,50
sk_windows_ratios,RF_depth3,stratified 5-fold,0.54921875,0.07043994228156249,0.5721568383906805,0.6291666666666667,0.12173514054883433,0.43235294117647055,0.17929118416621379,0.4655659233084539,32,5
sk_windows_reliability,LR_L2,train-all,0.858974358974359,0.0,0.8485082506548315,0.9615384615384616,0.0,0.5238095238095238,0.0,0.3429606103829279,162,1
sk_windows_reliability,LR_L2,70/30 x50,0.5961333333333333,0.059641931558258574,0.590303114726981,0.7258333333333333,0.10674801585457637,0.4352,0.10107897902135735,0.3563027716012025,49,50
sk_windows_reliability,LR_L2,stratified 5-fold,0.5974417892156862,0.03992722710874049,0.6049303289287996,0.705,0.08504083986205949,0.4183823529411764,0.09301979176981452,0.38277238376657396,32,5
sk_windows_reliability,LR_L1,train-all,0.8444749694749694,0.0,0.8287264641139547,0.9615384615384616,0.0,0.5238095238095238,0.0,0.3822371214278548,162,1
sk_windows_reliability,LR_L1,70/30 x50,0.5838,0.05710520505562034,0.5873545618836711,0.7691666666666667,0.09545577801032033,0.36719999999999997,0.08897280483383672,0.35750638240111987,49,50
sk_windows_reliability,LR_L1,stratified 5-fold,0.5893504901960783,0.06827734135961398,0.6123116205813058,0.695,0.12658440311156471,0.3713235294117647,0.11223777590054226,0.3888846122109438,32,5
sk_windows_reliability,LR_elastic,train-all,0.8507326007326007,0.0,0.8387708300405821,0.9615384615384616,0.0,0.5119047619047619,0.0,0.35660869447833565,162,1
sk_windows_reliability,LR_elastic,70/30 x50,0.5926333333333333,0.05757419367891988,0.5937058251888049,0.74,0.10819221578078322,0.40319999999999995,0.08721100847943453,0.35463863653560634,49,50
sk_windows_reliability,LR_elastic,stratified 5-fold,0.5922886029411764,0.06359582425755174,0.6176222767259087,0.7066666666666667,0.09805752280053673,0.3713235294117647,0.12395759125227362,0.37647021212958787,32,5
sk_windows_reliability,SVM_poly2,train-all,0.9117826617826618,0.0,0.8800020026709522,0.9615384615384616,0.0,0.7142857142857143,0.0,-0.12811660825264462,162,1
sk_windows_reliability,SVM_poly2,70/30 x50,0.6171333333333334,0.06415782623084004,0.6259726998826509,0.7566666666666667,0.09837569708915804,0.33039999999999997,0.13524732899395833,-0.11615652809387489,49,50
