feature,auc_raw,auc_oriented,direction
sk_ratio_q15_23_to_q06_10_cosine,0.48824786324786323,0.5117521367521367,-1
sk_q02_23_sigma_target,0.5108363858363858,0.5108363858363858,1
sk_q10_15_sigma_target,0.5096153846153846,0.5096153846153846,1
sk_q06_10_mahalanobis,0.49068986568986567,0.5093101343101343,-1
sk_q15_23_meanrms,0.4945054945054945,0.5054945054945055,-1
sk_q15_23_mahalanobis,0.5027472527472527,0.5027472527472527,1
sk_ratio_q15_23_to_q06_10_wasserstein,0.5027472527472527,0.5027472527472527,1
contralateral_measurements,0.4977106227106228,0.5022893772893773,-1
sk_q06_10_sigma_target,0.4983211233211233,0.5016788766788767,-1
sk_logdiff_q15_23_minus_q06_10_mahalanobis,0.5015262515262515,0.5015262515262515,1
sk_q02_23_wasserstein,0.5007631257631258,0.5007631257631258,1
sk_logdiff_q15_23_minus_q06_10_meanrms,0.4996947496947497,0.5003052503052503,-1
sk_ratio_q15_23_to_q06_10_mahalanobis,0.4996947496947497,0.5003052503052503,-1
