model_name,ablation,split_id,threshold_provenance,threshold_sample_count,threshold_cancer_cases,threshold_benign_cases,test_patients,test_target_cases,test_cancer_cases,test_benign_cases,lr1_c,current_lr2_c,threshold_youden,threshold_target,target_sensitivity,target_reached,roc_auc,pr_auc,sensitivity,specificity,balanced_accuracy,ppv,npv,brier_score,log_loss,calibration_intercept,calibration_slope,true_positives,true_negatives,false_positives,false_negatives,profile_c,age_c,symmetry_c
recalibrated_joint_additive,calibrated_profile,6,outer_train_full_chain_lr1_oof_meta_oof_scores,140,60,80,33,35,16,19,0.1,,0.46018792893273813,0.23964389926878987,0.95,True,0.5986842105263158,0.5484276651141521,1.0,0.0,0.5,0.45714285714285713,,0.24225672495500195,0.6758337281373203,-0.004314817249983862,0.839638048763011,16,0,19,0,0.1,0.1,0.1
recalibrated_joint_additive,profile_age,6,outer_train_full_chain_lr1_oof_meta_oof_scores,140,60,80,33,35,16,19,0.1,,0.36042662674301923,0.2532075217367168,0.95,True,0.680921052631579,0.658784480687715,1.0,0.2631578947368421,0.631578947368421,0.5333333333333333,1.0,0.21314866122162973,0.6080920320584962,-0.03648430228196533,1.1736963691915723,16,5,14,0,3.0,0.3,0.1
recalibrated_joint_additive,profile_symmetry,6,outer_train_full_chain_lr1_oof_meta_oof_scores,140,60,80,33,35,16,19,0.1,,0.4727282242022254,0.24460595280359015,0.95,True,0.5953947368421053,0.5458812751006568,1.0,0.10526315789473684,0.5526315789473684,0.48484848484848486,1.0,0.24355246459879507,0.6779394962983197,-0.044314640515264035,0.6891784057376014,16,2,17,0,0.03,0.1,0.001
recalibrated_joint_additive,profile_age_symmetry,6,outer_train_full_chain_lr1_oof_meta_oof_scores,140,60,80,33,35,16,19,0.1,,0.48990616750326854,0.19030093158757755,0.95,True,0.680921052631579,0.6177790913399466,1.0,0.21052631578947367,0.6052631578947368,0.5161290322580645,1.0,0.2130748727836888,0.6065256668747037,-0.1025035656894756,1.031255071050698,16,4,15,0,0.1,1.0,0.001
current_product_exact_legacy,current_product_exact_legacy,7,legacy_outer_train_fitted_lr1_fitted_lr2_scores,140,61,79,33,35,15,20,0.1,0.3,0.5365667978869605,0.2511019607005629,0.95,True,0.7933333333333333,0.7745763152401768,0.8666666666666667,0.5,0.6833333333333333,0.5652173913043478,0.8333333333333334,0.18506291132764285,0.5480827200923304,0.04745229852325167,0.7159242552297093,13,10,10,2,,,
current_architecture_oof_retrained,current_architecture_oof_retrained,7,outer_train_full_chain_lr1_oof_current_lr2_oof_scores,140,61,79,33,35,15,20,0.1,0.3,0.5407916437252535,0.30217600071954603,0.95,True,0.6399999999999999,0.6313749947370636,1.0,0.1,0.55,0.45454545454545453,1.0,0.2361221265709508,0.6609979696596131,-0.43404537522514985,0.9698247744581181,15,2,18,0,,,
recalibrated_joint_additive,calibrated_profile,7,outer_train_full_chain_lr1_oof_meta_oof_scores,140,61,79,33,35,15,20,0.1,,0.4231196960890457,0.3593426734020424,0.95,True,0.7633333333333334,0.721741611558949,1.0,0.3,0.65,0.5172413793103449,1.0,0.21842133652927964,0.6269636035481044,1.444702323858154,5.096337341886363,15,6,14,0,0.1,0.1,0.1
recalibrated_joint_additive,profile_age,7,outer_train_full_chain_lr1_oof_meta_oof_scores,140,61,79,33,35,15,20,0.1,,0.3824233451359487,0.2957789581486474,0.95,True,0.76,0.6935828541943093,0.9333333333333333,0.4,0.6666666666666667,0.5384615384615384,0.8888888888888888,0.20994769449381054,0.6057510639408941,0.15909310369274315,1.4409299504484698,14,8,12,1,3.0,1.0,0.1
recalibrated_joint_additive,profile_symmetry,7,outer_train_full_chain_lr1_oof_meta_oof_scores,140,61,79,33,35,15,20,0.1,,0.42219772953226853,0.35584262060954935,0.95,True,0.76,0.7193450973977289,1.0,0.3,0.65,0.5172413793103449,1.0,0.2185325164791165,0.6271955322741778,1.4391573497006234,5.071314539711789,15,6,14,0,0.1,0.1,0.001
recalibrated_joint_additive,profile_age_symmetry,7,outer_train_full_chain_lr1_oof_meta_oof_scores,140,61,79,33,35,15,20,0.1,,0.3666562256557531,0.2914885176505448,0.95,True,0.7566666666666667,0.6899464905579457,1.0,0.3,0.65,0.5172413793103449,1.0,0.20965160838915456,0.6047892363874442,0.1478087408906084,1.4079705608735522,15,6,14,0,3.0,3.0,0.001
current_product_exact_legacy,current_product_exact_legacy,8,legacy_outer_train_fitted_lr1_fitted_lr2_scores,140,61,79,33,35,15,20,0.1,0.3,0.564690039409785,0.23472204809800984,0.95,True,0.6166666666666666,0.5869380002713336,0.8666666666666667,0.2,0.5333333333333333,0.4482758620689655,0.6666666666666666,0.26439943260123194,0.7369000734349798,-0.26079605138040596,0.3259999629856151,13,4,16,2,,,
current_architecture_oof_retrained,current_architecture_oof_retrained,8,outer_train_full_chain_lr1_oof_current_lr2_oof_scores,140,61,79,33,35,15,20,0.1,0.3,0.44251843790281603,0.2948464686593251,0.95,True,0.6833333333333332,0.5914937562437562,1.0,0.15,0.575,0.46875,1.0,0.23156958772427033,0.654979365131448,-0.2518394923070818,0.790148592315334,15,3,17,0,,,
recalibrated_joint_additive,calibrated_profile,8,outer_train_full_chain_lr1_oof_meta_oof_scores,140,61,79,33,35,15,20,0.1,,0.4736104813966945,0.25512475597884426,0.95,True,0.5800000000000001,0.5421749688220276,1.0,0.0,0.5,0.42857142857142855,,0.2398780696652041,0.6726197187530375,-0.04658851391446848,1.257407649993121,15,0,20,0,0.1,0.1,0.1
recalibrated_joint_additive,profile_age,8,outer_train_full_chain_lr1_oof_meta_oof_scores,140,61,79,33,35,15,20,0.1,,0.47638239877582733,0.24022894230133132,0.95,True,0.6433333333333333,0.5665504814248693,1.0,0.05,0.525,0.4411764705882353,1.0,0.23793424712789768,0.6649980983028045,-0.09287587205852443,0.6679354899232404,15,1,19,0,3.0,0.3,0.1
recalibrated_joint_additive,profile_symmetry,8,outer_train_full_chain_lr1_oof_meta_oof_scores,140,61,79,33,35,15,20,0.1,,0.47295739696122824,0.25600575215788113,0.95,True,0.5766666666666667,0.543543526190585,1.0,0.0,0.5,0.42857142857142855,,0.23993973176844438,0.6727552829913852,-0.04788879555420139,1.2400229739257558,15,0,20,0,0.1,0.1,0.001
recalibrated_joint_additive,profile_age_symmetry,8,outer_train_full_chain_lr1_oof_meta_oof_scores,140,61,79,33,35,15,20,0.1,,0.4683254415265457,0.24160229626918076,0.95,True,0.6433333333333333,0.5665504814248693,1.0,0.05,0.525,0.4411764705882353,1.0,0.2379274213574517,0.6649823958840452,-0.09198559213413936,0.6681103069355792,15,1,19,0,3.0,0.3,0.001
