split_id,model_name,ablation,delta_roc_auc,delta_pr_auc,delta_brier_score,delta_log_loss,delta_sensitivity,delta_specificity,delta_balanced_accuracy
24,recalibrated_joint_additive,profile_age,0.0888888888888889,0.10131955664961145,-0.0394654578392116,-0.08757759863847603,0.06666666666666665,-0.23809523809523808,-0.08571428571428574
25,recalibrated_joint_additive,profile_age,-0.0037037037037037646,-0.005328709527050002,0.004489223049204877,0.015126810407569358,0.06666666666666665,-0.38888888888888895,-0.1611111111111111
26,recalibrated_joint_additive,profile_age,-0.015151515151515138,-0.06337137344583699,-0.026183972391260274,-0.07483942093543627,0.1333333333333333,-0.18181818181818182,-0.024242424242424288
27,recalibrated_joint_additive,profile_age,0.0714285714285714,0.06006631563320364,-0.023390608620092845,-0.052381196166980115,0.0625,-0.14285714285714285,-0.0401785714285714
28,recalibrated_joint_additive,profile_age,-0.12962962962962954,-0.13662923317842846,0.03385104605594985,0.05993155342965095,0.06666666666666665,-0.05555555555555558,0.005555555555555536
29,recalibrated_joint_additive,profile_age,0.1366666666666665,0.16827769359096134,-0.08946143268578988,-0.241394994957858,0.2666666666666667,-0.2,0.033333333333333326
30,recalibrated_joint_additive,profile_age,0.07000000000000006,0.10255115255115255,-0.029444204238062543,-0.10140886572117802,0.06666666666666665,-0.24999999999999997,-0.09166666666666667
31,recalibrated_joint_additive,profile_age,0.08333333333333337,0.033848506112435395,-0.05412188849484495,-0.13067915475666025,0.2666666666666667,-0.15000000000000002,0.05833333333333335
32,recalibrated_joint_additive,profile_age,0.09090909090909105,0.04270198486629584,-0.05577486178444971,-0.129263439563164,0.20000000000000007,0.0,0.10000000000000009
33,recalibrated_joint_additive,profile_age,-0.05263157894736836,0.07515159071795219,0.026107038175661984,0.05321828680516161,0.06666666666666665,-0.21052631578947367,-0.07192982456140351
34,recalibrated_joint_additive,profile_age,0.02777777777777779,0.04470002732251738,-0.01822947140498654,-0.043748791969801415,0.0,-0.1111111111111111,-0.05555555555555558
35,recalibrated_joint_additive,profile_age,0.12187500000000007,0.07655568061168583,-0.07984501372258235,-0.19991440003821204,0.125,0.04999999999999999,0.08750000000000002
36,recalibrated_joint_additive,profile_age,0.09696969696969693,0.1451668815482139,-0.05259567185973493,-0.14382489706250412,0.06666666666666665,-0.09090909090909094,-0.012121212121212088
37,recalibrated_joint_additive,profile_age,-0.053333333333333344,-0.11757910998408894,0.013105142369261552,0.010911861320092475,0.33333333333333337,-0.55,-0.10833333333333328
38,recalibrated_joint_additive,profile_age,0.10370370370370374,0.07323178043519196,-0.07437087908549017,-0.19863394078097485,0.19999999999999996,-0.1111111111111111,0.0444444444444444
39,recalibrated_joint_additive,profile_age,-0.010526315789473828,-0.02916101589301423,-0.01595236465032157,-0.06748089308830096,0.06666666666666665,-0.05263157894736842,0.007017543859649145
40,recalibrated_joint_additive,profile_age,-0.025396825396825418,0.05605201014947514,0.006114516481121268,0.009185789523422416,0.06666666666666665,-0.2857142857142857,-0.10952380952380947
41,recalibrated_joint_additive,profile_age,0.053968253968254,-0.001538551220829243,-0.024989983974643887,-0.07623222714492639,0.0,0.0,0.0
42,recalibrated_joint_additive,profile_age,0.06666666666666665,0.011458044497260178,0.0011933842692145868,-0.00708571808513514,0.2666666666666667,-0.4736842105263158,-0.10350877192982455
43,recalibrated_joint_additive,profile_age,0.12280701754385959,0.10199304287616973,-0.06481681221244304,-0.33837227818665194,0.20000000000000007,-0.21052631578947367,-0.0052631578947367474
44,recalibrated_joint_additive,profile_age,0.1875,0.1806159426399988,-0.12399352594324725,-0.32670699443506857,0.3125,-0.2631578947368421,0.024671052631578982
45,recalibrated_joint_additive,profile_age,0.05714285714285716,0.09587903640893602,-0.03043505293075749,-0.08944614064771916,0.0,-0.047619047619047616,-0.023809523809523836
46,recalibrated_joint_additive,profile_age,0.15333333333333332,0.23422127467587822,-0.07427367434423884,-0.18892725767126095,0.06666666666666665,-0.30000000000000004,-0.1166666666666667
47,recalibrated_joint_additive,profile_age,0.13157894736842102,0.0756646596350159,-0.0523718739827958,-0.1263411722087876,0.25,-0.21052631578947373,0.019736842105263164
48,recalibrated_joint_additive,profile_age,-0.007017543859649145,0.00024399604229707883,-0.037608793530603674,-0.1332603669200252,0.33333333333333337,-0.2631578947368421,0.03508771929824572
49,recalibrated_joint_additive,profile_age,-0.04000000000000015,-0.15252938439899133,-0.031693239672623996,-0.09985292246870914,0.06666666666666665,-0.15000000000000002,-0.04166666666666663
0,recalibrated_joint_additive,profile_symmetry,-0.02592592592592602,-0.010424104201992468,-0.008962524332345928,-0.07919083168627228,0.20000000000000007,-0.3888888888888889,-0.09444444444444444
1,recalibrated_joint_additive,profile_symmetry,-0.07333333333333336,-0.0658406378015799,0.008301981493936711,0.008196183207602958,0.1333333333333333,-0.5,-0.18333333333333335
2,recalibrated_joint_additive,profile_symmetry,-0.07936507936507942,-0.11284414647891255,-0.007939127309484345,-0.02360765525048769,0.1333333333333333,-0.14285714285714285,-0.004761904761904745
3,recalibrated_joint_additive,profile_symmetry,-0.09868421052631571,-0.11657947462962315,-0.015095689505361803,-0.04593639445505249,0.0625,-0.21052631578947367,-0.07401315789473684
4,recalibrated_joint_additive,profile_symmetry,-0.06984126984126982,-0.05919228439529317,-0.028371243003182667,-0.09816822503659617,0.20000000000000007,-0.28571428571428575,-0.042857142857142816
5,recalibrated_joint_additive,profile_symmetry,-0.06060606060606066,-0.03321156087460431,-0.033804524733207664,-0.1376729345090123,0.06666666666666665,-0.22727272727272727,-0.08030303030303027
6,recalibrated_joint_additive,profile_symmetry,-0.0625,-0.03800601306052842,2.2589415016260883e-05,-0.016013057573145195,0.0,-0.15789473684210525,-0.07894736842105265
