ablation,selection_step,candidate_c,profile_c,age_c,symmetry_c,roc_auc,pr_auc,sensitivity,specificity,balanced_accuracy,ppv,npv,brier_score,log_loss,calibration_intercept,calibration_slope,selected,selected_at_grid_boundary,outer_split_id,selection_scope
profile_symmetry,profile_c,0.3,0.3,0.1,0.1,0.5450313701679822,0.4703387070519273,0.22950819672131148,0.8641975308641975,0.5468528637927544,0.56,0.5982905982905983,0.24936755383164796,0.707112023657315,-0.2854341659823228,-0.005847031108076348,False,False,0,outer_train_nested_full_chain
profile_symmetry,profile_c,1.0,1.0,0.1,0.1,0.5413883829184376,0.47120923549010596,0.21311475409836064,0.8888888888888888,0.5510018214936248,0.5909090909090909,0.6,0.2499136004935631,0.7080706846430764,-0.30812559778017157,-0.07671809805503209,False,False,0,outer_train_nested_full_chain
profile_symmetry,profile_c,3.0,3.0,0.1,0.1,0.5371382311273022,0.47033510747317836,0.19672131147540983,0.8888888888888888,0.5428051001821493,0.5714285714285714,0.5950413223140496,0.24990879884729497,0.7080613406177702,-0.3132111448650525,-0.09276849343351783,False,False,0,outer_train_nested_full_chain
profile_symmetry,symmetry_c,0.001,0.1,0.1,0.001,0.5784254199554747,0.4842402979330123,0.18032786885245902,0.8271604938271605,0.5037441813398098,0.44,0.5726495726495726,0.24421442187589942,0.6825160717823369,-0.13913756981481828,0.5199329325198726,True,True,0,outer_train_nested_full_chain
profile_symmetry,symmetry_c,0.003,0.1,0.1,0.003,0.5741752681643392,0.4868582934403446,0.18032786885245902,0.8271604938271605,0.5037441813398098,0.44,0.5726495726495726,0.24447304829531402,0.6830744916546654,-0.14349629091479962,0.49861905895344366,False,False,0,outer_train_nested_full_chain
profile_symmetry,symmetry_c,0.01,0.1,0.1,0.01,0.5679012345679012,0.4906954965986956,0.2459016393442623,0.8271604938271605,0.5365310665857114,0.5172413793103449,0.5929203539823009,0.2452894436233922,0.6856639347558481,-0.1654404057921632,0.4085558072179777,False,False,0,outer_train_nested_full_chain
profile_symmetry,symmetry_c,0.03,0.1,0.1,0.03,0.5664845173041895,0.5052853896675414,0.2459016393442623,0.8271604938271605,0.5365310665857114,0.5172413793103449,0.5929203539823009,0.2463702330957963,0.6923848941385605,-0.2056240258667554,0.2583608841417637,False,False,0,outer_train_nested_full_chain
profile_symmetry,symmetry_c,0.1,0.1,0.1,0.1,0.5515077919449505,0.48180318292474056,0.2459016393442623,0.7654320987654321,0.5056668690548471,0.4411764705882353,0.5740740740740741,0.24792681903528355,0.704994488076306,-0.242419961417499,0.13033035089939665,False,False,0,outer_train_nested_full_chain
profile_symmetry,symmetry_c,0.3,0.1,0.1,0.3,0.5533292855697227,0.48157339336074356,0.2786885245901639,0.7654320987654321,0.522060311677798,0.4722222222222222,0.5849056603773585,0.2501317520966196,0.7184185613416844,-0.2575890306100805,0.07810609631998815,False,False,0,outer_train_nested_full_chain
profile_symmetry,symmetry_c,1.0,0.1,0.1,1.0,0.548067192875936,0.47666429768857044,0.29508196721311475,0.7283950617283951,0.5117385144707549,0.45,0.5784313725490197,0.2527173644147741,0.730998025244012,-0.26277883913224837,0.05817009924059043,False,False,0,outer_train_nested_full_chain
profile_symmetry,symmetry_c,3.0,0.1,0.1,3.0,0.5529245092086622,0.4827890067972301,0.3114754098360656,0.7160493827160493,0.5137623962760575,0.4523809523809524,0.58,0.2543268348371448,0.7380367100169268,-0.2635590419995473,0.05405783868825668,False,False,0,outer_train_nested_full_chain
profile_age_symmetry,profile_c,0.001,0.001,0.1,0.1,0.6555353167375025,0.5816604902761935,0.45901639344262296,0.691358024691358,0.5751872090669905,0.5283018867924528,0.6292134831460674,0.23027013440026814,0.6639089681933278,-0.10027252052973142,0.5872976005032758,False,False,0,outer_train_nested_full_chain
profile_age_symmetry,profile_c,0.003,0.003,0.1,0.1,0.6563448694596236,0.5816586351455166,0.45901639344262296,0.691358024691358,0.5751872090669905,0.5283018867924528,0.6292134831460674,0.22995267815662437,0.6629820476278478,-0.09836153190216229,0.5949841328105423,False,False,0,outer_train_nested_full_chain
profile_age_symmetry,profile_c,0.01,0.01,0.1,0.1,0.6585711394454564,0.5832546568630079,0.45901639344262296,0.691358024691358,0.5751872090669905,0.5283018867924528,0.6292134831460674,0.22897392286068227,0.6601499447919318,-0.09204853858755484,0.6203351331226036,False,False,0,outer_train_nested_full_chain
profile_age_symmetry,profile_c,0.03,0.03,0.1,0.1,0.6652499494029549,0.5904198833537013,0.45901639344262296,0.7037037037037037,0.5813600485731634,0.5384615384615384,0.6333333333333333,0.2270665319003066,0.654707626687817,-0.07734859772510624,0.6798579517635784,False,False,0,outer_train_nested_full_chain
profile_age_symmetry,profile_c,0.1,0.1,0.1,0.1,0.6680833839303785,0.5815149990483746,0.47540983606557374,0.7283950617283951,0.6019024488969844,0.5686274509803921,0.6483516483516484,0.22507874610852813,0.6487632611157331,-0.05031029984122608,0.7869534983396438,True,False,0,outer_train_nested_full_chain
profile_age_symmetry,profile_c,0.3,0.3,0.1,0.1,0.6690953248330298,0.5743067390760347,0.4262295081967213,0.7407407407407407,0.583485124468731,0.5531914893617021,0.631578947368421,0.22570561732833527,0.6490785669723493,-0.03725102823351535,0.8391527030258936,False,False,0,outer_train_nested_full_chain
profile_age_symmetry,profile_c,1.0,1.0,0.1,0.1,0.6707144302772717,0.568360602121162,0.4262295081967213,0.7160493827160493,0.5711394454563853,0.5306122448979592,0.6236559139784946,0.22614985211944547,0.6497888189465745,-0.03314363083877783,0.8486486526137755,False,False,0,outer_train_nested_full_chain
profile_age_symmetry,profile_c,3.0,3.0,0.1,0.1,0.6715239829993928,0.5669872233571576,0.39344262295081966,0.7160493827160493,0.5547460028334346,0.5106382978723404,0.6105263157894737,0.22620481523718097,0.6498984465910659,-0.03165996373683648,0.8501509667841141,False,False,0,outer_train_nested_full_chain
profile_age_symmetry,age_c,0.001,0.1,0.001,0.1,0.5596033191661608,0.48833976442060223,0.2459016393442623,0.7777777777777778,0.51183970856102,0.45454545454545453,0.5779816513761468,0.2467241546615019,0.702217780411793,-0.22967960372839524,0.17011840758038943,False,False,0,outer_train_nested_full_chain
profile_age_symmetry,age_c,0.003,0.1,0.003,0.1,0.5731633272616878,0.5007827131133273,0.2459016393442623,0.7901234567901234,0.5180125480671929,0.46875,0.5818181818181818,0.24456210442131715,0.6972095046031088,-0.20636617782638692,0.2457202344912387,False,False,0,outer_train_nested_full_chain
profile_age_symmetry,age_c,0.01,0.1,0.01,0.1,0.6099979761181947,0.5416497876044191,0.3114754098360656,0.8148148148148148,0.5631451123254402,0.5588235294117647,0.6111111111111112,0.2389184739989871,0.6839872948551244,-0.14183903595067032,0.46140052245960805,False,False,0,outer_train_nested_full_chain
profile_age_symmetry,age_c,0.03,0.1,0.03,0.1,0.64561829589152,0.5706229084028029,0.4262295081967213,0.7530864197530864,0.5896579639749039,0.5652173913043478,0.6354166666666666,0.23108183414922553,0.6649137370126402,-0.06673012756701518,0.7280131605237294,False,False,0,outer_train_nested_full_chain
profile_age_symmetry,age_c,0.1,0.1,0.1,0.1,0.6680833839303785,0.5815149990483746,0.47540983606557374,0.7283950617283951,0.6019024488969844,0.5686274509803921,0.6483516483516484,0.22507874610852813,0.6487632611157331,-0.05031029984122608,0.7869534983396438,False,False,0,outer_train_nested_full_chain
profile_age_symmetry,age_c,0.3,0.1,0.3,0.1,0.6765836875126493,0.5856498603425689,0.4918032786885246,0.7160493827160493,0.603926330702287,0.5660377358490566,0.651685393258427,0.223742568127995,0.64416752878212,-0.06293827619213012,0.735256708092093,False,False,0,outer_train_nested_full_chain
profile_age_symmetry,age_c,1.0,0.1,1.0,0.1,0.6800242865816636,0.5871805968464431,0.5245901639344263,0.7160493827160493,0.6203197733252378,0.5818181818181818,0.6666666666666666,0.22383979064013737,0.6438544651960646,-0.07174167586573332,0.6977247791198576,True,False,0,outer_train_nested_full_chain
profile_age_symmetry,age_c,3.0,0.1,3.0,0.1,0.6800242865816637,0.5850665429231438,0.5245901639344263,0.7160493827160493,0.6203197733252378,0.5818181818181818,0.6666666666666666,0.22399590348520043,0.6441008823567809,-0.0749413328257287,0.6841673789773641,False,False,0,outer_train_nested_full_chain
profile_age_symmetry,symmetry_c,0.001,0.1,1.0,0.001,0.6921675774134791,0.6125780260648677,0.5081967213114754,0.7407407407407407,0.6244687310261081,0.5961538461538461,0.6666666666666666,0.2181103149214204,0.6247449058926651,-0.034339638171894546,0.8936683298870418,True,True,0,outer_train_nested_full_chain
profile_age_symmetry,symmetry_c,0.003,0.1,1.0,0.003,0.689738919247116,0.6097045290301047,0.5081967213114754,0.7407407407407407,0.6244687310261081,0.5961538461538461,0.6666666666666666,0.2184460816578825,0.6253282904487177,-0.033789714028889334,0.8882215988596517,False,False,0,outer_train_nested_full_chain
profile_age_symmetry,symmetry_c,0.01,0.1,1.0,0.01,0.6860959319975714,0.6041969592096377,0.5245901639344263,0.7283950617283951,0.6264926128314107,0.5925925925925926,0.6704545454545454,0.21947643828679947,0.6275030953040263,-0.03546717698651733,0.8648008311228123,False,False,0,outer_train_nested_full_chain
profile_age_symmetry,symmetry_c,0.03,0.1,1.0,0.03,0.6820481683869662,0.5968680902866673,0.5245901639344263,0.7283950617283951,0.6264926128314107,0.5925925925925926,0.6704545454545454,0.2212941107572758,0.6329593862763422,-0.046956134135283004,0.8041790972323675,False,False,0,outer_train_nested_full_chain
