component,explained_variance_ratio,cumulative_explained_variance_ratio,lr1_coefficient_per_sd_train_all,abs_lr1_coefficient_per_sd_train_all,cancer_minus_benign_score_sd_train_all,univariate_auc_train_all,univariate_auc_direction,fold_aligned_lr1_coefficient_mean,fold_aligned_lr1_coefficient_sd,fold_mean_abs_lr1_coefficient,fold_coefficient_direction_consistency,fold_basis_abs_cosine_mean,fold_basis_abs_cosine_min,one_sd_max_q_nm_inv,one_sd_max_delta,one_sd_min_q_nm_inv,one_sd_min_delta,one_sd_peak_to_peak,model_activity_rank
11,0.0008204161361610828,0.954069994464618,0.015166295778467447,0.015166295778467447,0.008702297413297927,0.5001013294422828,CANCER_higher,0.0036236890929651957,0.11452846639696135,0.09343614690298464,0.51,0.443442600572654,0.0023154162141318275,14.345704736886546,0.03727715946497063,13.279298347653821,-0.02561665958704408,0.06289381905201472,21
15,0.0007224443888574539,0.9571189022357863,-0.0824269602285505,0.0824269602285505,-0.08414835735905123,0.5113286316472114,CANCER_lower,-0.030908702708785388,0.10982208544776072,0.09020119772057479,0.63,0.36177170782149654,0.008806510270535136,15.083986083278432,0.03368672263821795,12.376954479841515,-0.02183070765949325,0.0555174302977112,22
3,0.03996921860121287,0.922307887887686,0.07937260797205989,0.07937260797205989,0.06498327149461261,0.5390118352788587,CANCER_higher,0.07609393109089288,0.0714200371570549,0.08658384290099029,0.86,0.9971458035354535,0.9853851969791592,11.392579351319,0.12738059612647484,2.6972657160367817,-0.08912921360858705,0.2165098097350619,23
18,0.000674733600466629,0.9591819363951988,0.03315290215594162,0.03315290215594162,0.03245842221383521,0.5097073605706874,CANCER_lower,-0.00039976324816863514,0.10607699206021039,0.0853931745683698,0.54,0.3048936079773548,0.013638286317543678,2.9433594981674105,0.026204895279036553,14.919923561858013,-0.026179139500058533,0.05238403477909509,24
13,0.0007785597391145025,0.9556618747785605,-0.055583496226365166,0.055583496226365166,-0.05364763580146208,0.5099910830090791,CANCER_higher,-0.02769293153158718,0.10144952626886601,0.08521934731222142,0.65,0.4657783912287527,0.013394566928652304,13.52539212978445,0.02858588554737221,12.623048261972144,-0.02761095298416559,0.0561968385315378,25
16,0.0006990439625348924,0.9578179461983213,-0.04657266960766441,0.04657266960766441,-0.055488685693786524,0.5256566147859922,CANCER_lower,-0.0011603808305527146,0.10111901119673317,0.08069367766426212,0.55,0.3144217822579303,0.006372846354269511,3.1894532802980393,0.023886942963453516,12.623048261972144,-0.023492128588800672,0.04737907155225419,26
14,0.0007345830683683437,0.9563964578469288,0.07968918765254408,0.07968918765254408,0.06768057972589459,0.5163545719844358,CANCER_higher,0.04027107059309328,0.09250013488214168,0.08019931338466338,0.72,0.40636825048661507,0.010749746734313129,14.099610954755917,0.03238581380071789,14.673829779727384,-0.02664115543817339,0.05902696923889128,27
17,0.0006892565964108919,0.9585072027947321,-0.09034562728681711,0.09034562728681711,-0.09279160603597628,0.5330333981841764,CANCER_lower,-0.037397636606669483,0.0931546485545797,0.07880184312726576,0.63,0.3214198599935444,0.004019159661896907,13.033204565523192,0.028190735350423584,15.49414238682948,-0.02375916154375173,0.05194989689417531,28
5,0.005069918128148724,0.9475624501918855,0.01005082419540784,0.01005082419540784,0.00420390470817696,0.5116326199740596,CANCER_higher,0.011417501543597951,0.07245934551608349,0.05826085681802467,0.51,0.9947044370149095,0.9869721901532655,13.115235826233402,0.04463921273581988,15.986329951090738,-0.038841873461350415,0.08348108619717029,29
8,0.0009618440684297602,0.9515427040946989,0.013922030616692784,0.013922030616692784,0.0044335521775367365,0.5028777561608302,CANCER_lower,0.019193948179813944,0.07137974824038812,0.056324716364041676,0.65,0.9005099616754471,0.7707436908336113,13.771485911915079,0.03454136642626458,12.212891958421096,-0.02316231437613892,0.0577036808024035,30
