cohort,profile_encoder,split_id,roc_auc,pr_auc,sensitivity,specificity,balanced_accuracy,ppv,npv,brier_score,log_loss,calibration_intercept,calibration_slope,threshold_target,true_positives,true_negatives,false_positives,false_negatives
common,raw100,44,0.5708502024291499,0.4710485121807134,0.8461538461538461,0.2631578947368421,0.5546558704453441,0.44,0.7142857142857143,0.277599614293219,0.7551157875768374,-0.3067983403951049,0.22575176014076717,0.23160266077764546,11,5,14,2
common,raw100,45,0.6547619047619048,0.5368537632444282,0.9285714285714286,0.2777777777777778,0.6031746031746033,0.5,0.8333333333333334,0.23532853670333875,0.6771953604281818,-0.34744209218523503,0.5829134630224108,0.26099894748137603,13,5,13,1
common,raw100,46,0.5366666666666666,0.458139734070962,0.7333333333333333,0.4,0.5666666666666667,0.4782608695652174,0.6666666666666666,0.2997006191093661,0.8487174912347341,-0.24042427650734732,0.11282226803288123,0.33128838697576096,11,8,12,4
common,raw100,47,0.6666666666666667,0.6388704872630055,0.7142857142857143,0.5555555555555556,0.6349206349206349,0.5555555555555556,0.7142857142857143,0.2428865091827942,0.7297587771771303,-0.012769635222886773,0.38396441208552123,0.28885726219149604,10,10,8,4
common,raw100,48,0.6642857142857144,0.5602651906057479,0.8571428571428571,0.55,0.7035714285714285,0.5714285714285714,0.8461538461538461,0.24299705890767634,0.68887756260415,-0.3519482467977236,0.46150437959902324,0.37501360598313427,12,11,9,2
common,raw100,49,0.8418803418803419,0.8568986568986567,0.9230769230769231,0.4444444444444444,0.6837606837606838,0.5454545454545454,0.8888888888888888,0.15753934205557588,0.47564173688852196,-0.2595162318606709,1.1112332478114826,0.2465344795178873,12,8,10,1
common,raw100,50,0.746031746031746,0.6539151579777601,0.9285714285714286,0.4444444444444444,0.6865079365079365,0.5652173913043478,0.8888888888888888,0.2115458326947662,0.6233680462606386,-0.1671399021625464,0.5915754228562772,0.26549253551498925,13,8,10,1
common,raw100,51,0.6848739495798319,0.5735471382606621,0.8571428571428571,0.5294117647058824,0.6932773109243697,0.6,0.8181818181818182,0.2355397094281324,0.7341076052405813,-0.11223626652302551,0.3563737641654791,0.28205392492208786,12,9,8,2
common,raw100,52,0.7272727272727273,0.6510402743697674,0.7857142857142857,0.4090909090909091,0.5974025974025974,0.4583333333333333,0.75,0.21792620662597187,0.6304637366293995,-0.40189802052862006,0.5725583474777791,0.27792857097443296,11,9,13,3
common,raw100,53,0.6626984126984127,0.6453930701137078,0.7142857142857143,0.3888888888888889,0.5515873015873016,0.47619047619047616,0.6363636363636364,0.24634932769439125,0.6962288182762866,-0.14558451175660317,0.43443479901170895,0.30056330321906816,10,7,11,4
common,raw100,54,0.7105263157894737,0.6325816709745281,0.8571428571428571,0.3157894736842105,0.5864661654135338,0.48,0.75,0.2239582011473886,0.6346556284865837,-0.30255750106136126,0.6180025993825038,0.22041549425280854,12,6,13,2
common,raw100,55,0.83,0.7149841094577937,1.0,0.4,0.7,0.5555555555555556,1.0,0.16492626764031038,0.5107634741932262,-0.29509101822376177,0.8201817221558441,0.23083789237566352,15,8,12,0
common,raw100,56,0.6848739495798319,0.714686750719768,0.7142857142857143,0.47058823529411764,0.592436974789916,0.5263157894736842,0.6666666666666666,0.2499642207574022,0.7544645132174158,-0.08894453239148094,0.3369614347141136,0.29193298007917856,10,8,9,4
common,raw100,57,0.5678571428571428,0.521441479630334,0.9285714285714286,0.25,0.5892857142857143,0.4642857142857143,0.8333333333333334,0.27232870310594665,0.7599499239680386,-0.35115436486910817,0.23758297608111295,0.3123311490116925,13,5,15,1
common,raw100,58,0.6349206349206349,0.5299541966545072,0.9285714285714286,0.2777777777777778,0.6031746031746033,0.5,0.8333333333333334,0.2609438896471851,0.7383746602411116,-0.2807766425761345,0.3592845446115792,0.24635901608536578,13,5,13,1
